relative_path,num_steps,safety_trigger_count,safety_trigger_ratio,bound_violation_count,norm_violation_count,jump_violation_count,workspace_violation_count,abnormal_sequence_count,rejected_action_count,raw_motion_norm_mean,raw_motion_norm_max,safe_motion_norm_mean,safe_motion_norm_max,raw_action_jump_mean,raw_action_jump_max,safe_action_jump_mean,safe_action_jump_max
task0_ep28/actions.npy,70,39,0.5571428571428572,38,0,2,0,7,0,0.8844581246376038,1.2046217918395996,0.8846352696418762,1.2046217918395996,0.13342790305614471,0.68983393907547,0.13334175944328308,0.5
task0_ep29/actions.npy,73,44,0.6027397260273972,43,0,1,0,8,0,0.8516370058059692,1.1967982053756714,0.8516069054603577,1.1967982053756714,0.12594111263751984,0.5175380110740662,0.12590371072292328,0.5
task0_ep3/actions.npy,78,48,0.6153846153846154,47,0,1,0,11,0,0.8344722390174866,1.129788875579834,0.8343839645385742,1.129788875579834,0.12782137095928192,0.5376642942428589,0.12774914503097534,0.5
task0_ep30/actions.npy,106,52,0.49056603773584906,49,0,4,0,10,0,0.812656044960022,1.178181767463684,0.8103852272033691,1.178181767463684,0.15084567666053772,0.8509557843208313,0.1440581977367401,0.5
task0_ep31/actions.npy,73,42,0.5753424657534246,42,0,0,0,9,0,0.8422015309333801,1.2034131288528442,0.8422015309333801,1.2034131288528442,0.13232970237731934,0.3909980058670044,0.13232970237731934,0.3909980058670044
task0_ep32/actions.npy,109,60,0.5504587155963303,58,0,4,0,14,0,0.7943227887153625,1.2055861949920654,0.7912339568138123,1.2055861949920654,0.1395937204360962,0.6329590082168579,0.13942456245422363,0.5
task0_ep33/actions.npy,75,37,0.49333333333333335,37,0,0,0,7,0,0.8513643145561218,1.1966787576675415,0.8513643145561218,1.1966787576675415,0.13282132148742676,0.39994046092033386,0.13282132148742676,0.39994046092033386
task0_ep34/actions.npy,73,35,0.4794520547945205,35,0,0,0,6,0,0.8273743987083435,1.1883349418640137,0.8273743987083435,1.1883349418640137,0.12371370196342468,0.37587183713912964,0.12371370196342468,0.37587183713912964
task0_ep35/actions.npy,104,53,0.5096153846153846,51,0,3,0,15,0,0.8309376239776611,1.254578709602356,0.8250051736831665,1.254578709602356,0.14784273505210876,0.7940685749053955,0.1475040167570114,0.5
task0_ep36/actions.npy,72,46,0.6388888888888888,45,0,1,0,20,0,0.8515239357948303,1.182843804359436,0.8514601588249207,1.182843804359436,0.13255903124809265,0.5046947598457336,0.13252606987953186,0.5
task0_ep37/actions.npy,78,45,0.5769230769230769,45,0,0,0,18,0,0.8889596462249756,1.2018914222717285,0.8889596462249756,1.2018914222717285,0.12806814908981323,0.4110211133956909,0.12806814908981323,0.4110211133956909
task0_ep38/actions.npy,101,44,0.43564356435643564,42,0,4,0,11,0,0.8291501998901367,1.1563891172409058,0.8290117383003235,1.1563891172409058,0.14069046080112457,0.8765871524810791,0.14061449468135834,0.5
task0_ep39/actions.npy,71,24,0.3380281690140845,23,0,1,0,3,0,0.8686853647232056,1.2064481973648071,0.8694537281990051,1.2064481973648071,0.14816056191921234,0.5967499017715454,0.1477583944797516,0.5
task0_ep4/actions.npy,73,37,0.5068493150684932,37,0,0,0,9,0,0.8850274085998535,1.1650019884109497,0.8850274085998535,1.1650019884109497,0.12966154515743256,0.3994293212890625,0.12966154515743256,0.3994293212890625
task0_ep40/actions.npy,73,43,0.589041095890411,43,0,0,0,10,0,0.8572976589202881,1.2498939037322998,0.8572976589202881,1.2498939037322998,0.13482356071472168,0.42916497588157654,0.13482356071472168,0.42916497588157654
task0_ep41/actions.npy,78,52,0.6666666666666666,52,0,0,0,19,0,0.8772789239883423,1.1983766555786133,0.8772789239883423,1.1983766555786133,0.13787870109081268,0.4431804418563843,0.13787870109081268,0.4431804418563843
task0_ep42/actions.npy,80,43,0.5375,43,0,0,0,13,0,0.897982120513916,1.2266048192977905,0.897982120513916,1.2266048192977905,0.12642067670822144,0.3326948285102844,0.12642067670822144,0.3326948285102844
task0_ep43/actions.npy,76,45,0.5921052631578947,45,0,0,0,13,0,0.8829086422920227,1.2325222492218018,0.8829086422920227,1.2325222492218018,0.13442832231521606,0.46173813939094543,0.13442832231521606,0.46173813939094543
task0_ep44/actions.npy,72,44,0.6111111111111112,44,0,0,0,7,0,0.846069872379303,1.1317689418792725,0.846069872379303,1.1317689418792725,0.12131866812705994,0.4607175588607788,0.12131866812705994,0.4607175588607788
task0_ep45/actions.npy,73,38,0.5205479452054794,38,0,1,0,21,0,0.8616465330123901,1.1932731866836548,0.8621578216552734,1.1932731866836548,0.1336357742547989,0.5935701131820679,0.1326347440481186,0.4999999701976776
